foid,flid,oid,height,width,ocr
272,55,18,56.614898681641,124.81295776367,
273,55,43,169.64590454102,264.56927490234,
274,55,69,101.16937255859,92.809539794922,
275,55,69,86.088714599609,90.149154663086,
276,55,70,91.312469482422,81.556274414062,
277,55,70,79.276428222656,70.002197265625,
278,56,69,28.017883300781,44.613800048828,
279,56,72,231.81539916992,402.75482177734,
280,56,72,205.36459350586,422.83636474609,
281,56,94,34.971130371094,41.729644775391,
282,56,94,34.427001953125,42.128997802734,
283,56,94,44.779418945312,43.495788574219,
284,56,94,40.105102539062,44.790344238281,
285,56,94,37.148193359375,44.948211669922,
286,56,94,38.473297119141,42.784515380859,
287,57,90,44.586669921875,70.230194091797,
288,57,90,42.796768188477,71.601150512695,
289,57,90,43.668548583984,69.962127685547,
290,57,90,43.252136230469,70.111968994141,
291,57,90,45.247665405273,71.710968017578,
292,57,90,49.660949707031,71.774688720703,
293,57,94,40.346313476562,65.9814453125,
294,57,94,41.855346679688,77.215850830078,
295,57,96,37.521682739258,65.290283203125,
296,57,96,36.682220458984,73.623764038086,
297,58,21,114.29263305664,310.90908813477,
298,58,21,135.42486572266,289.7311706543,
299,58,21,116.28845214844,263.96563720703,
300,59,98,44.406799316406,63.347747802734,
301,60,13,151.86929321289,88.637054443359,
302,60,13,122.78082275391,97.038528442383,
303,60,68,159.9990234375,84.952209472656,
304,61,13,291.49340820312,190.08111572266,
305,61,13,256.35772705078,182.71145629883,
306,61,59,68.427642822266,85.830459594727,
307,62,10,194.55633544922,332.23065185547,
308,62,10,174.41415405273,294.44934082031,
309,62,10,217.57382202148,214.40460205078,
310,62,10,156.4616394043,485.22885131836,
311,62,94,44.321990966797,35.745941162109,
312,62,94,44.804992675781,32.129211425781,
313,62,94,44.712799072266,36.069061279297,
314,63,3,156.72636413574,97.263336181641,
315,63,4,38.244201660156,49.742828369141,
316,63,18,58.91162109375,118.27542114258,
317,63,69,84.021728515625,104.31732177734,D
318,64,3,67.046600341797,88.413330078125,
319,64,27,70.007232666016,169.70693969727,
320,64,27,79.709411621094,176.88735961914,
321,64,27,88.067810058594,188.66635131836,
322,64,27,75.396453857422,182.08636474609,
323,64,27,81.501281738281,151.15856933594,
324,64,27,80.931945800781,183.33346557617,
325,64,27,75.073577880859,165.30755615234,
326,64,27,80.577819824219,170.44799804688,
327,64,68,190.59945678711,89.60498046875,
328,64,68,157.44328308105,109.05856323242,
329,64,69,48.265350341797,93.31201171875,
330,64,69,46.255126953125,98.402755737305,
331,65,78,180.76843261719,31.959136962891,
332,65,78,204.90124511719,32.189575195312,
333,65,78,210.62698364258,34.467498779297,
334,65,78,170.65699768066,36.084381103516,
335,65,79,139.78283691406,33.124694824219,
336,65,79,140.00927734375,34.343017578125,
337,65,88,55.348724365234,37.254180908203,
338,65,97,48.681976318359,45.761779785156,
339,66,4,87.80810546875,56.182983398438,
340,66,4,109.00309753418,57.340759277344,
341,66,4,96.796173095703,66.386444091797,
342,66,45,235.36187744141,361.92279052734,
343,66,78,162.22375488281,65.561065673828,
344,67,59,103.2919921875,157.35748291016,
345,67,59,101.26544189453,149.7578125,
346,67,79,141.43231201172,58.178009033203,
