flid,uid,time,timestr,buid,x,y,deck,modelid
74,pmpeis,1657542580,"Jul 11, 2022 15:29:40",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695345617143,11.912672258914,5,1
75,pmpeis,1657542680,"Jul 11, 2022 15:31:20",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695219475184,11.912569664419,5,1
76,pmpeis,1657542754,"Jul 11, 2022 15:32:34",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694927591041,11.911811940372,5,1
77,pmpeis,1657543294,"Jul 11, 2022 15:41:34",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695020406512,11.911682523787,4,1
78,pmpeis,1657543584,"Jul 11, 2022 15:46:24",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695629972476,11.913075260818,5,1
79,pmpeis,1657615581,"Jul 12, 2022 11:46:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695608112851,11.912897564471,7,1
80,pmpeis,1657615654,"Jul 12, 2022 11:47:34",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695602558354,11.912874430418,7,1
81,pmpeis,1657615758,"Jul 12, 2022 11:49:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695466024967,11.912663206458,7,1
82,dzeina,1657639118,"Jul 12, 2022 18:18:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695277708387,11.912069432437,4,1
83,dzeina,1657639127,"Jul 12, 2022 18:18:47",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695292938594,11.91206138581,4,1
84,dzeina,1657639134,"Jul 12, 2022 18:18:54",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695300284927,11.912076473236,4,1
85,dzeina,1657639198,"Jul 12, 2022 18:19:58",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695133827411,11.911946386099,4,1
86,dzeina,1657639275,"Jul 12, 2022 18:21:15",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695013776843,11.911374740303,4,1
87,dzeina,1657639282,"Jul 12, 2022 18:21:22",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695006609633,11.911356970668,4,1
88,dzeina,1657639288,"Jul 12, 2022 18:21:28",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69500481783,11.911363340914,4,1
89,dzeina,1657639293,"Jul 12, 2022 18:21:33",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695002667666,11.91150046885,4,1
90,dzeina,1657639308,"Jul 12, 2022 18:21:48",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695050329595,11.911599375308,4,1
91,dzeina,1657639314,"Jul 12, 2022 18:21:54",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695084194612,11.911645978689,4,1
92,dzeina,1657639331,"Jul 12, 2022 18:22:11",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695129706278,11.911938339472,4,1
93,dzeina,1657639336,"Jul 12, 2022 18:22:16",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695137769363,11.911948062479,4,1
94,dzeina,1657639340,"Jul 12, 2022 18:22:20",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695130422997,11.911929287016,4,1
95,dzeina,1657640703,"Jul 12, 2022 18:45:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695340420963,11.912740655243,5,1
96,dzeina,1657640708,"Jul 12, 2022 18:45:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69532465324,11.912717856467,5,1
97,dzeina,1657640716,"Jul 12, 2022 18:45:16",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695348842358,11.912746690214,5,1
98,dzeina,1657640722,"Jul 12, 2022 18:45:22",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695351350858,11.912735626101,5,1
99,dzeina,1657640727,"Jul 12, 2022 18:45:27",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695344183714,11.912744678557,5,1
100,dzeina,1657640733,"Jul 12, 2022 18:45:33",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695346871393,11.912735290825,5,1
101,dzeina,1657640797,"Jul 12, 2022 18:46:37",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695407612888,11.912637390196,5,1
102,dzeina,1657640817,"Jul 12, 2022 18:46:57",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695430547703,11.912726908922,5,1
103,dzeina,1657640959,"Jul 12, 2022 18:49:19",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69540098329,11.912642419338,5,1
104,dzeina,1657640985,"Jul 12, 2022 18:49:45",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695433235376,11.912677958608,5,1
105,dzeina,1657642632,"Jul 12, 2022 19:17:12",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695336479033,11.9127946347,5,1
106,dzeina,1657642646,"Jul 12, 2022 19:17:26",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695353859358,11.912835538387,5,1
107,dzeina,1657642653,"Jul 12, 2022 19:17:33",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695333791353,11.912860348821,5,1
108,dzeina,1657642671,"Jul 12, 2022 19:17:51",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695340062606,11.912817768753,5,1
109,dzeina,1657642677,"Jul 12, 2022 19:17:57",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695356009501,11.912866048515,5,1
110,dzeina,1657642695,"Jul 12, 2022 19:18:15",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695331103673,11.912803687155,5,1
111,dzeina,1657642738,"Jul 12, 2022 19:18:58",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69549953124,11.912813074887,5,1
112,dzeina,1657642763,"Jul 12, 2022 19:19:23",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695513507109,11.912843249738,5,1
113,dzeina,1657642855,"Jul 12, 2022 19:20:55",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695512073687,11.912829168141,5,1
114,dzeina,1657642868,"Jul 12, 2022 19:21:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695494155904,11.912838220596,5,1
115,dzeina,1657642892,"Jul 12, 2022 19:21:32",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695506877531,11.912840902805,5,1
116,dzeina,1657642934,"Jul 12, 2022 19:22:14",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695571202307,11.913073584437,5,1
117,dzeina,1657704246,"Jul 13, 2022 12:24:06",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695511894509,11.913014240563,5,1
118,dzeina,1657704251,"Jul 13, 2022 12:24:11",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695510102731,11.913000494242,5,1
119,dzeina,1657704321,"Jul 13, 2022 12:25:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695513327931,11.912997476757,5,1
120,dzeina,1657704327,"Jul 13, 2022 12:25:27",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695509206842,11.912983730435,5,1
121,dzeina,1657704372,"Jul 13, 2022 12:26:12",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695516911487,11.913012564182,5,1
122,dzeina,1657704377,"Jul 13, 2022 12:26:17",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695508669309,11.912987418473,5,1
123,dzeina,1657704382,"Jul 13, 2022 12:26:22",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695525512018,11.913036033511,5,1
124,dzeina,1657704386,"Jul 13, 2022 12:26:26",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695510281909,11.913003847003,5,1
125,dzeina,1657704392,"Jul 13, 2022 12:26:32",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695519778331,11.913000494242,5,1
